x_centered,y_centered
-2.47,17.48
2.04,17.06
-4.36,16.19
0.11,16.18
-1.84,15.43
2.88,15.43
-7.52,15.09
-3.26,14.40
-6.42,13.92
-0.34,13.86
1.66,13.71
-1.78,13.31
0.38,12.62
-5.12,12.29
-2.80,12.21
-1.69,10.77
-12.54,-7.11
-14.44,-7.58
-12.22,-8.68
-13.84,-8.87
-10.42,-9.20
-8.94,-9.20
-7.12,-9.68
-13.52,-10.58
-11.32,-10.64
-8.40,-10.72
-9.90,-11.62
-6.42,-11.73
-11.96,-12.44
-8.60,-12.83
-9.76,-13.58
-7.46,-14.40
4.72,17.18
7.31,16.17
6.14,14.78
4.48,14.45
8.93,13.98
11.82,13.28
3.30,13.07
9.00,12.41
10.80,12.33
6.34,12.26
1.74,11.97
0.20,11.01
5.16,11.02
3.51,10.27
6.60,10.14
0.99,9.59
-9.40,12.97
-7.98,11.74
-5.00,10.72
-7.20,10.43
-0.47,9.54
-4.10,9.39
-6.16,9.34
-2.30,8.30
-7.86,8.11
-4.94,8.11
-6.04,6.82
-7.98,6.35
-3.65,5.49
-6.68,5.44
-8.90,4.48
-8.24,3.05
-11.98,12.51
-13.06,11.51
-10.94,11.51
-8.94,10.47
-10.54,10.13
-12.22,9.94
-14.62,9.66
-9.56,9.04
-11.78,8.28
-9.12,7.47
-15.78,7.18
-13.98,6.65
-10.54,6.23
-15.54,5.37
-12.74,4.75
-14.62,4.18
-8.90,1.00
-7.06,-0.71
-8.75,-1.73
-6.04,-1.81
-10.84,-2.08
-9.66,-3.59
-7.86,-4.00
-12.70,-4.33
-14.76,-4.54
-6.56,-5.09
-11.52,-5.43
-7.98,-5.50
-13.80,-5.77
-16.00,-5.84
-10.30,-6.87
-8.50,-7.54
5.48,8.38
7.14,7.50
3.20,6.48
6.06,6.48
4.64,6.05
6.82,5.02
8.18,4.96
4.06,4.77
10.64,3.67
4.68,3.38
2.97,1.74
7.14,1.40
5.72,1.19
8.51,1.15
4.77,-0.09
5.35,-1.80
-6.14,-15.08
-5.69,-8.89
-5.18,-12.77
-4.52,-11.32
-4.14,-9.01
-3.82,-13.87
-3.62,-7.56
-3.10,-12.56
-2.78,-10.94
-2.58,-5.65
-2.13,-9.01
-1.82,-7.56
-1.09,-9.89
-0.64,-6.41
0.46,-7.70
2.26,-11.13
0.65,-11.42
4.03,-11.90
4.40,-13.21
0.40,-13.47
1.74,-13.88
-1.92,-13.95
3.30,-14.36
6.10,-15.52
-2.45,-15.58
0.85,-15.73
3.05,-15.87
-3.81,-16.35
5.06,-16.82
-1.09,-17.04
3.24,-17.23
1.63,-17.52
0.08,-0.14
2.53,-0.52
-2.84,-1.23
-0.71,-1.37
2.72,-2.33
1.17,-2.53
-2.13,-3.08
-5.44,-3.19
3.30,-3.96
0.46,-4.16
-4.38,-4.70
-1.22,-4.71
1.36,-5.39
2.72,-5.75
2.92,-7.33
3.11,-8.76
12.34,12.11
14.16,11.01
10.34,10.82
9.12,9.38
11.70,9.11
13.14,8.35
14.94,8.35
10.20,7.26
11.58,6.86
8.60,6.71
15.00,6.30
9.44,5.49
14.10,5.00
16.04,4.93
11.64,4.73
14.10,3.37
-11.50,3.90
-17.01,3.16
-10.14,3.02
-12.60,2.89
-15.32,2.82
-16.60,1.38
-15.10,1.38
-10.58,1.12
-13.24,0.69
-16.53,-0.20
-14.86,-0.35
-12.00,-0.67
-13.70,-1.29
-15.52,-1.69
-15.69,-3.07
-13.84,-3.34
17.04,3.06
12.52,2.29
11.86,1.00
17.16,0.91
14.24,0.86
12.96,0.10
14.46,-0.66
17.88,-1.14
13.04,-1.89
15.42,-1.90
11.54,-2.13
15.04,-3.61
16.84,-3.67
12.90,-4.09
14.52,-5.09
16.58,-6.32
10.20,-7.68
8.72,-8.22
10.02,-9.32
13.90,-9.32
11.38,-9.58
5.42,-9.80
8.14,-9.80
9.76,-10.75
12.60,-10.96
8.02,-11.16
5.22,-11.37
10.40,-12.34
8.72,-12.39
7.10,-12.68
10.02,-14.58
7.74,-14.72
10.54,2.05
9.52,-0.40
11.00,-0.68
7.31,-0.96
7.00,-2.66
9.70,-2.67
11.44,-3.57
8.54,-4.53
5.68,-5.26
7.68,-5.62
11.32,-6.43
5.31,-6.78
12.94,-7.11
14.56,-7.19
4.86,-8.21
6.48,-8.21
2.19,9.10
3.68,8.68
-0.13,8.27
-0.71,6.56
1.28,6.15
-1.82,5.60
2.12,4.31
-2.45,3.77
-0.00,3.35
1.49,3.01
-4.01,2.73
-6.34,2.59
0.84,1.77
-2.45,1.10
-5.50,0.40
-4.46,-0.76
